Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
2.5,9438,16,229,1,629,1.4,12119,4,68832,180,5397,17517
1.5,5657,16,138,5,360,1,7165,10,36331,131,3360,11563
2,7664,14,193,28,648,7.7,8968,16,53062,156,4360,14827
3,9031,31,245,36,881,13.1,13677,10,75905,151,6321,22416
2.5,9705,12,200,24,712,3.5,11309,6,62520,175,5812,21159
2,6362,11,201,23,637,9.4,8819,11,55171,135,4707,14475
3.5,13402,38,274,97,888,4,14956,15,96257,304,7788,28755
2,6083,28,242,13,504,2.6,9965,6,47710,146,4312,14013
2,6830,27,197,12,528,5.9,9436,20,54066,177,4772,16301
2.5,8728,37,272,43,654,7,10825,18,67432,220,5316,18065
3,9130,49,251,74,753,2.4,14378,15,77481,201,6757,23371
2.5,8084,37,287,51,796,7.1,11182,20,60476,216,5564,18962
3,9709,51,274,72,742,1.5,13965,18,79409,172,7172,24972
0.5,1531,2,50,4,135,1.4,2319,10,13929,34,1183,3518
1,3770,17,83,26,300,3.8,4738,12,27438,74,2274,8714
3.5,12033,9,295,72,903,6.5,17139,19,97520,260,7971,24543
2,7148,26,165,43,541,3.9,8954,7,47780,135,4422,16820
2,6871,9,206,49,549,9.3,8820,14,54577,179,4705,16737
3,9542,38,257,78,704,3.3,14136,4,78882,205,6323,21049
2.5,8402,36,229,43,580,11.1,12457,12,63239,129,5531,20264
1.5,5916,22,142,26,448,0.8,7200,12,41241,117,3167,12871
2.5,8519,26,195,23,778,9.1,10557,10,60045,196,5787,22052
2,6407,30,168,2,505,2.3,8520,20,55937,137,4685,14847
1.5,5270,25,134,11,409,3.7,6747,13,38745,97,3594,13036
2,7969,30,223,31,575,1.1,9418,14,48451,119,4495,16877
1,3110,13,87,23,282,3.3,4839,5,26878,72,2255,8953
2,7271,32,203,32,594,2.7,9858,5,51322,148,4267,17773
3.5,13244,27,429,49,858,11.4,17157,14,82894,267,7451,29645
2.5,8376,23,206,35,767,7.3,11432,5,58980,163,5768,19138
3,11400,41,331,24,703,3.3,14564,10,71454,227,6494,25195
3,10002,41,271,8,786,12.7,12814,18,82092,202,6959,22717
1,3295,6,117,22,254,0.9,4508,13,24411,81,2118,7224
1.5,5787,14,133,30,409,1.5,7338,6,35621,85,3365,12749
1.5,5272,16,160,7,371,5,7161,15,36370,101,3316,10781
1,3021,11,124,25,247,4,4357,6,24679,87,2252,7485
3.5,11740,53,289,65,1091,4.1,17174,15,94745,180,7919,30509
0.5,1895,2,55,3,143,1,2243,20,12330,38,1186,3812
1.5,5621,3,152,2,440,3.5,6741,7,38644,113,3468,12546
2.5,7668,21,271,67,769,7.9,10847,10,68645,208,5267,19692
1.5,5331,25,186,42,472,4,6359,4,37702,93,3530,10695
1.5,5750,2,151,12,360,5,7332,9,36653,125,3275,13056
4,13555,22,484,59,1305,15.3,17399,14,101962,288,9069,31982
1,3559,1,78,18,314,1.9,4839,10,24995,61,2390,8839
2.5,9945,13,284,24,673,9.5,11007,5,65962,141,5689,18335
2.5,7891,15,291,31,761,7.3,11701,5,61639,214,5839,19947
3.5,11278,49,391,2,842,3.2,14961,17,89912,292,7483,25903
1.5,5334,13,171,5,355,3.7,7322,14,40726,130,3176,12037
1,3495,11,126,11,269,2.7,4317,5,27039,62,2104,8062
1,3078,4,120,4,294,0.5,4660,15,24634,87,2130,7590
3.5,13781,44,333,7,1087,11.3,16342,4,84686,246,8151,27123
2,6373,3,184,39,629,9.8,8914,13,46872,169,4732,15783
2,6869,17,243,29,513,2.2,8857,10,52641,157,4598,14909
1.5,5290,10,128,36,359,3.4,6814,20,39717,110,3271,11960
1.5,5289,17,174,0,435,7.1,6522,17,39524,131,3568,13288
0.5,1552,4,55,7,139,1.4,2342,11,12454,44,1089,4480
3,11930,45,357,72,724,4.3,14807,12,75370,202,6671,23456
1,3651,10,99,4,314,4.3,4412,18,24028,66,2282,8944
1.5,5151,23,117,22,411,5.2,7193,19,36337,120,3203,12250
3,10149,9,350,75,846,14.4,12609,15,83887,156,6586,23994
1.5,5843,4,182,34,441,3.3,7035,4,38820,92,3481,11226
1,3610,8,115,8,230,3.3,4569,9,27075,75,2112,7823
1,3188,2,94,23,259,3,4648,5,27116,69,2186,8617
2.5,8575,23,316,32,755,6.5,12431,16,64710,219,5563,18993
1.5,4634,10,166,23,425,3,6638,11,37338,81,3289,11794
3,9023,12,292,37,715,3.1,14302,11,77359,178,6727,21144
1,3209,4,102,14,295,0.5,4216,19,27431,81,2221,7416
1.5,5973,3,136,15,437,3.8,6374,11,37784,80,3454,13288
2.5,8238,16,226,44,686,5.2,11957,9,63424,141,5471,20184
1,3493,14,99,20,250,2.1,4458,13,24584,69,2195,7229
1,3342,12,79,26,285,2.4,4418,18,23281,52,2153,7937
4,12471,9,379,76,1163,18.8,19140,10,95515,322,8467,33568
3.5,13326,13,273,46,1152,15,17170,7,97532,240,8190,25897
2,7643,10,195,57,643,9.3,8897,12,51197,114,4785,14462
1,3307,2,88,17,308,3.4,4729,10,27547,66,2209,7549
3,10137,17,253,38,829,15,14636,18,83953,235,6549,21082
1,3372,17,86,10,316,1.4,4374,8,24667,79,2103,8276
3,11966,8,324,2,858,12.4,12804,10,83677,264,7141,25504
3,10051,13,285,13,918,4,14818,17,70333,218,6903,21976
2,7078,29,182,30,546,2.3,9984,11,55489,138,4338,15759
3,9887,27,262,27,979,6.1,12913,7,79782,190,6492,26271
2.5,8636,37,222,46,823,8.9,11919,4,69205,215,5469,18535
1.5,5280,14,166,32,399,1.9,7315,12,41127,86,3187,13265
2.5,8667,4,270,59,787,6.5,10885,6,59169,202,5961,18767
2,6601,32,157,56,640,9.2,9799,4,53677,155,4282,15290
1,3070,15,79,21,247,3.9,4389,18,24325,70,2353,7467
0.5,1877,8,42,14,156,0.5,2169,19,13612,26,1111,3840
1,3184,10,125,0,231,3.4,4755,10,26768,61,2282,8474
2.5,8655,27,272,4,578,10.9,11780,7,58984,170,5715,21941
1,3856,8,100,19,309,1.3,4780,14,26282,70,2206,8207
1,3445,17,101,3,245,3.2,4920,16,25702,62,2167,7685
1,3179,7,122,12,317,1.9,4780,5,26446,88,2105,8039
1.5,4891,5,125,33,441,7.1,6483,19,39597,79,3598,12996
1.5,5245,18,135,29,459,1,7460,6,38798,133,3421,11416
3,9100,20,327,32,827,12.6,13815,10,74787,157,7003,23807
4,14308,60,344,41,1067,12.3,17868,7,98304,237,9295,31162
1.5,4790,21,181,36,376,5.1,6679,7,38034,127,3510,13500
2.5,9865,3,279,64,790,7.5,11017,10,69308,223,5833,18736
1.5,5686,12,157,43,449,7,6829,19,40369,130,3408,10856
2,6670,3,228,32,585,3.3,8755,9,53150,167,4351,16281
3.5,11112,27,427,68,820,6,16550,16,91147,249,7815,31080
2,7381,25,248,16,628,7.5,9768,16,53678,148,4267,15417
2,6960,31,233,6,505,1.6,8411,13,47287,171,4493,17963
1.5,5292,9,163,24,478,3.9,6887,20,37983,88,3456,12096
3,9413,6,357,43,718,9.9,13382,7,71285,221,6532,25171
2,7935,4,245,2,485,2.5,8752,6,49456,127,4260,17514
3,11664,16,277,18,968,1.9,12902,8,76662,159,6398,23203
3.5,10718,45,361,45,1114,11.8,15303,5,81514,232,7850,28039
3.5,11616,56,281,23,868,2.2,16955,8,81373,240,7446,30632
2,6529,33,217,54,541,5.9,8905,15,52390,131,4673,17340
2,6820,16,207,5,528,7,8608,17,52930,117,4791,14219
1.5,5779,25,154,30,376,5.3,6992,6,40437,103,3569,11254
1,3630,5,80,4,268,4.5,4992,10,25823,88,2200,7110
2.5,8415,21,251,31,711,7.7,11083,11,58096,213,5961,19631
2.5,7612,6,233,55,652,1.6,11515,13,65623,223,5618,19571
3,11266,36,326,18,937,10.4,13870,6,80044,216,6603,25642
2,6049,10,165,12,623,9.7,9181,6,48431,145,4713,16399
1,3592,8,115,27,292,3.7,4798,11,25025,79,2242,8065
2.5,8977,32,257,25,623,5.6,12009,12,63485,215,5752,19842
3,9062,13,251,69,741,3.3,13059,7,74048,177,6408,26046
1,3503,15,96,20,285,1,4982,5,26699,59,2105,8778
1.5,5497,13,157,29,346,6.2,6606,13,40094,124,3592,11976
2.5,8911,10,227,59,597,1.3,10995,17,64488,211,5569,22404
2,6371,29,251,55,495,8.5,9104,10,53393,102,4570,16620
1.5,5450,9,180,19,421,3.4,6710,5,36226,102,3371,11319
2,7850,11,247,36,491,4.6,9824,12,49524,139,4250,17854
1.5,5379,9,184,0,457,2.6,7316,8,35175,114,3550,10685
2,7543,24,246,31,652,9.6,9636,16,51847,132,4638,15066
2.5,8944,26,214,38,660,8.8,12344,19,69377,138,5302,20181
2.5,8222,23,223,36,729,7.5,12287,19,61747,131,5375,20374
2.5,9911,9,218,34,689,2.3,11802,15,66124,131,5554,21082
1.5,4868,13,170,12,432,5.3,6804,13,38539,100,3537,13394
3.5,11525,15,314,7,913,7.1,16173,7,89837,288,7699,29613
1,3479,3,120,28,308,1.5,4573,20,26827,53,2238,8255
3.5,10952,32,434,37,935,4.6,15628,19,87476,247,7417,24681
2,6088,30,208,52,507,5.9,9859,20,46426,118,4323,14258
1,3628,12,110,12,267,2.9,4411,10,25715,74,2308,7467
4.5,16329,39,515,110,1107,12.3,20571,16,108905,235,10590,34615
2,6257,20,232,14,506,6,8882,20,46933,160,4615,15016
1.5,5746,15,179,27,348,4.7,6377,8,39252,81,3535,11419
2,7967,8,211,29,599,3.6,8454,18,52913,170,4245,15967
4,13081,48,377,31,996,15,18001,20,97255,208,8816,28149
2.5,8990,31,317,22,804,10.9,12056,4,61976,148,5422,22021
2,6609,20,236,35,520,3.9,9274,20,55445,143,4520,16953
2.5,7517,4,317,23,756,12.4,11820,18,68911,195,5273,18083
1,3243,2,80,9,313,2.1,4641,10,25572,53,2118,8892
1.5,5897,19,162,20,454,2.9,7470,11,36090,122,3277,13175
1.5,4770,22,129,4,471,5.9,6591,19,40390,76,3455,13317
1.5,4853,8,133,8,384,1.3,6724,14,37420,132,3520,13112
3,10670,3,368,51,978,2.6,13575,8,78935,168,6980,23176
2.5,9873,26,246,35,714,4.5,12052,5,69752,206,5868,21547
1,3922,15,112,1,256,3.7,4599,14,24888,58,2169,8915
2,7493,24,172,33,660,3.7,9938,5,53062,125,4276,14236
2.5,7633,4,252,40,795,5,10680,6,67200,129,5871,21692
1,3457,4,100,12,285,5,4826,20,26368,69,2275,7840
0.5,1949,8,39,5,123,0.3,2386,20,12436,30,1066,3739
2,7969,10,238,56,509,5.3,9678,12,53825,175,4499,14676
2,6326,19,235,44,606,8.7,9475,19,49237,137,4686,17519
2,7924,7,217,15,522,6,9555,10,46713,136,4676,14995
1,3232,5,85,10,316,4.7,4443,19,25597,58,2319,7390
2,7851,7,245,14,463,7,9761,9,50547,112,4300,14095
0.5,1683,4,60,7,159,1.4,2361,9,13753,31,1199,4146
2.5,8054,17,272,49,639,10.1,12400,6,65554,217,5997,19306
2.5,8855,7,310,22,657,8,11617,9,67794,215,5430,17875
3.5,11092,34,371,38,830,7.3,16827,7,86062,224,8183,29449
1.5,5720,10,183,22,360,5,7431,14,37687,98,3286,10874
2,6873,28,180,13,622,4.7,8514,4,51558,110,4251,14042
2,7153,23,185,43,489,5,9275,19,49445,109,4684,17734
4,13685,6,414,33,930,5.3,18950,15,96722,208,8798,30482
1,3722,2,102,1,308,4.8,4272,14,27118,51,2134,7679
1.5,5251,14,178,23,392,4.2,7335,18,36658,92,3237,13398
1.5,5247,20,171,9,351,6.5,7287,16,37620,83,3555,13358
1.5,4504,13,163,0,431,6.9,6453,9,39186,121,3561,13258
1,3742,6,123,1,322,3.1,4544,7,23572,62,2353,8744
1.5,4704,4,155,20,422,1.2,6796,12,36660,135,3161,12828
1,3728,4,99,28,248,2.9,4583,13,23303,80,2185,8440
2,7996,3,165,16,527,6,8514,17,51491,156,4337,16871
2,7652,16,197,43,549,9.2,9829,10,49201,145,4569,17299
2.5,8917,29,209,31,605,11.2,11523,7,61613,142,5806,21353
2.5,8066,22,225,51,746,8.3,12054,9,64560,155,5272,17756
2,6167,11,254,38,590,6.6,9297,18,53275,112,4671,17568
2,6760,25,248,51,512,3.4,8407,17,50850,158,4347,17353
2.5,9816,15,303,18,693,7.6,11364,16,66704,153,5955,18987
3,9048,40,261,21,811,5,14491,7,71577,214,7085,26756
1,3684,11,108,13,293,1.7,4515,16,26940,54,2252,8777
3,10465,18,360,45,794,5.7,12712,4,81801,240,6916,25914
2.5,7730,8,203,5,647,10.8,11235,13,59852,150,5484,17884
1.5,5516,25,179,1,474,1.7,6883,16,40411,107,3597,12996
2,7227,27,159,13,490,2.5,9117,19,51065,144,4304,14779
2,7864,27,186,40,642,3.1,9745,15,46290,135,4368,15346
1.5,4669,18,169,37,466,2.6,6373,4,39415,129,3470,13367
2,6936,32,188,47,526,5.4,8856,12,55031,129,4413,14150
2,7178,4,161,54,562,2.8,9947,9,52157,101,4405,14800
4,13006,67,367,32,1157,7.8,17914,16,99199,203,9327,32986
4,15309,39,387,86,1285,3.3,17515,12,100061,326,9034,35460
1.5,5611,19,152,21,377,4.6,7388,15,40016,127,3282,11974
3.5,13675,48,323,41,886,8.2,17114,7,97566,301,7748,29214
1,3911,11,106,9,276,2.9,4602,20,25266,60,2226,8941
2,6652,19,214,4,622,1.2,9901,17,46462,128,4468,16273
1,3948,2,83,11,276,1,4274,13,27612,54,2122,8507
2,7697,3,212,2,621,2.7,9865,4,55777,147,4507,14237
3,9982,38,233,67,888,8.3,14795,8,76579,162,6730,21798
3,9791,22,375,70,984,12.5,14293,11,74097,244,7058,26244
0.5,1804,3,63,10,130,1.7,2149,13,13378,28,1130,4451
3,11875,30,271,6,968,10.1,14798,15,72311,173,6635,23808
2,6337,12,252,38,555,2.4,9873,13,51228,107,4483,16757
4,15059,51,389,72,1250,16.5,17580,4,93375,332,8990,30202
2.5,7649,21,291,9,684,7.4,12379,10,68664,146,5803,18900
1,3868,6,121,13,290,1.9,4796,5,23370,71,2239,7097
2,7070,29,232,38,460,9.7,8852,10,51857,174,4351,16304
3,11185,18,336,62,816,11.1,12600,7,79237,213,6362,26102
2,6528,17,246,53,483,7.3,9911,5,46546,149,4299,16455
1.5,4637,10,149,15,400,3.7,7110,19,41595,99,3222,10856
3.5,11957,17,363,75,888,5.5,16653,5,85025,314,8272,27640
1.5,5104,25,117,0,477,7,6607,15,39898,124,3444,11778
2.5,7932,6,195,26,752,1.6,11080,15,63190,146,5896,20706
4,12659,65,369,91,1259,4.9,17332,10,105075,210,8687,34006
2.5,8079,27,238,33,730,4.2,11683,18,63357,208,5622,18327
1.5,5847,23,120,42,457,3.2,6406,4,39511,109,3269,12402
1.5,5249,12,172,42,348,0.9,7205,13,36506,101,3448,12382
3.5,12338,47,376,96,956,14.9,17032,15,92852,206,7607,25525
0.5,1884,3,59,14,149,0.5,2195,11,12784,28,1199,3717
2,6026,22,231,44,617,4.8,9791,8,55081,134,4603,16334
3,11393,10,322,29,708,3.1,12628,19,78347,268,6720,26582
1.5,4866,25,182,25,427,3,6421,14,40359,104,3424,11626
1,3800,10,111,25,262,3,4473,13,25044,73,2352,8397
2.5,8793,16,257,35,598,9,11033,10,62115,172,5523,22239
3,9538,25,248,78,944,12.5,14784,11,72192,237,6592,24733
2,6957,28,239,51,539,5.5,8731,6,52061,175,4328,14922
1,3810,8,95,5,272,1,4583,20,23002,82,2265,7801
0.5,1652,1,43,13,154,2.2,2394,11,12940,35,1178,4370
2.5,8930,25,260,59,770,12.3,10607,20,67758,186,5628,21399
3,10876,6,287,15,870,12.4,13995,8,74039,215,6544,22597
2,7426,13,168,41,489,5.7,9512,16,47456,110,4571,17194
3,10214,8,367,42,755,8.9,14434,20,70092,188,6631,23928
2,6102,15,240,39,658,6.9,8460,13,47441,105,4339,17992
1,3750,16,119,3,287,2.6,4771,11,26119,63,2301,8206
3.5,13841,43,383,55,937,4.8,17110,17,82665,278,7647,25577
2,6877,17,240,32,585,9.2,9880,5,51240,169,4447,15127
2,6941,8,201,25,581,5.2,9076,11,50972,119,4652,16789
3,10960,34,302,10,745,7.4,14614,5,74421,154,7002,24541
0.5,1988,7,44,7,158,1.5,2166,17,11639,38,1161,3526
3,10528,13,251,68,957,10,14012,20,69243,159,6957,21058
0.5,1619,3,52,7,133,1,2341,18,13213,26,1082,4290
2,6728,26,248,50,570,4.3,9337,13,55523,162,4502,15599
2,7171,31,222,9,619,5.8,9275,11,52836,130,4271,14684
2.5,9313,8,278,34,810,12.3,10982,9,58236,199,5899,18557
3,10364,49,319,55,902,6.1,13333,18,70598,180,6948,24543
2,6857,8,159,10,553,6.1,9358,14,47516,149,4371,17191
2,6441,34,175,31,491,3,9198,4,50715,175,4651,17726
2,6109,28,164,18,549,3.3,8865,17,49939,125,4477,17523
3.5,11545,23,294,4,853,12.2,16165,13,93879,198,7616,30102
2.5,8718,25,262,54,625,9.1,12448,7,67568,214,5489,20096
2,6036,5,203,45,621,1.8,9836,16,49810,116,4428,15741
2,7431,32,248,5,478,6.4,9367,9,52091,127,4718,17163
1.5,5129,9,171,43,412,2.5,6444,5,35846,81,3479,12333
1.5,4604,25,133,27,392,7.5,6576,9,40361,89,3330,11192
1.5,5760,3,173,22,473,1.2,7144,15,36716,130,3492,10942
3,11683,50,285,15,932,14.1,13194,6,82895,223,6690,23924
2.5,8769,27,284,63,740,3.3,11371,10,68046,133,5736,18832
2.5,9295,23,239,24,812,3.2,11034,10,63246,162,5501,17894
2,6116,13,196,10,553,4,8487,14,50019,101,4741,17849
3,9277,41,264,17,818,13.6,14403,10,78279,168,7161,21460
1.5,5309,16,144,41,441,4.1,7229,20,39417,110,3506,13426
2,6150,13,185,32,527,6.4,9408,9,49399,141,4352,17794
1,3035,10,84,11,245,4.3,4486,8,27404,58,2114,8989
3,11230,15,257,75,985,11.8,13038,9,74978,164,6824,26216
3,11362,40,333,13,834,11,14695,13,81034,244,6345,23025
3,9708,41,340,82,794,9.4,13990,5,73294,246,6676,21992
2.5,9515,33,231,1,739,5.3,10887,18,60459,135,5268,21759
1,3765,5,88,23,286,2.9,4344,9,24607,69,2324,7133
0.5,1974,5,39,2,116,1.7,2102,16,11631,33,1124,4071
3.5,13040,49,377,98,978,9.3,16397,12,90699,299,7589,25063
1.5,5078,10,144,0,484,3.6,6814,11,39121,82,3558,13108
1.5,5908,10,190,33,440,7.2,6544,9,40630,126,3197,13353
1.5,5036,25,132,32,376,1.3,6954,12,40346,118,3223,10506
1.5,4936,24,165,22,481,4.1,6377,6,38674,100,3322,11786
2,6303,19,226,3,536,9.9,9696,20,54563,108,4530,15532
0.5,1600,7,56,13,154,2,2275,10,11788,36,1089,4372
1.5,4541,17,175,35,369,2.7,6976,20,35197,120,3250,13030
1,3201,13,83,25,276,2.1,4803,15,25716,85,2246,7939
2,7011,28,227,5,621,2.4,8565,20,54054,132,4435,16802
1.5,4598,25,185,38,373,1.9,6555,13,39030,115,3350,13404
1.5,5777,5,172,18,348,3.1,7175,11,40985,97,3334,11716
3.5,12060,20,368,65,1076,15.5,16581,20,90737,197,8025,31115
2.5,8573,34,193,69,735,9.5,12219,7,59048,171,5749,18729
1.5,4521,9,181,29,491,1.2,6837,20,34907,80,3487,12603
2,6095,21,159,2,650,7.6,8867,20,47656,146,4375,15833
1.5,4928,15,178,11,475,2.3,6608,7,39335,85,3299,12480
0.5,1883,6,55,5,141,1.2,2499,18,12511,42,1132,3925
2.5,8025,23,260,67,757,10.1,11544,8,60337,219,5421,18042
0.5,1657,1,54,4,153,0.4,2211,12,13029,28,1164,4048
1.5,4610,15,155,26,360,5.3,6335,8,36523,105,3370,12303
3,9972,25,296,47,723,2.9,14782,4,79899,230,6849,23725
1.5,5689,15,178,12,362,4.1,7193,4,37293,103,3280,13376
4,12864,29,473,97,983,18.3,18231,17,99800,267,9144,30115
1.5,4762,14,136,11,482,4.4,6807,12,34761,119,3503,13150
3.5,12152,25,361,41,820,8.6,14810,6,86753,309,7377,26396
1.5,5320,9,141,18,391,2.8,7101,16,36169,85,3416,11101
2.5,8866,17,311,51,708,3.9,11161,11,58238,140,5500,22464
1.5,5463,24,176,36,396,4.5,7060,9,36018,131,3154,12798
3,9016,42,250,20,973,14,14023,8,72751,221,7012,26401
3,11590,37,346,75,775,3.2,12854,15,83277,267,6666,22426
4,12487,13,505,91,1305,2,18238,14,107565,355,9374,33885
3.5,13347,18,440,35,1054,14.4,15337,5,96941,257,8153,28181
1,3845,8,100,5,292,1.4,4312,4,27175,75,2315,7937
1,3306,4,119,9,296,1.9,4357,16,27453,76,2265,7011
1.5,4509,6,145,35,450,3.5,7172,8,35396,122,3320,11655
2,7916,2,241,15,475,9.8,8847,16,55665,107,4440,14941
0.5,1919,6,48,6,143,0.5,2213,18,13913,38,1091,3516
2,6803,17,195,9,478,3.8,9433,8,54841,117,4788,17364
0.5,1520,8,44,13,126,1.3,2148,5,12464,36,1122,4061
4,13992,5,415,17,995,6.6,17149,18,96920,225,9158,33974
1,3833,7,97,27,302,1.6,4622,10,24394,81,2376,7397
3.5,12568,54,417,26,1108,11.9,16554,16,88512,223,7851,27394
3,11256,15,338,24,698,11,13395,5,82544,191,6492,26779
2,6301,18,209,54,557,8.8,8685,14,51173,151,4203,15948
1,3050,11,93,2,231,4.7,4822,14,24416,83,2146,7873
1,3802,11,115,8,288,4.1,4554,13,23329,51,2334,7996
1,3112,13,90,21,296,0.6,4445,7,27101,65,2148,8445
2,6286,20,177,18,512,1.7,8893,13,55286,106,4681,15762
2,7908,21,190,16,590,5.8,9864,19,54854,129,4317,14671
3,9241,32,348,10,719,13.7,13497,18,72329,152,6668,25195
2.5,8185,24,197,35,738,2.4,10979,4,60528,181,5394,22399
3,10349,36,358,86,740,4.2,14816,14,73955,201,6584,22619
2.5,9738,40,286,21,761,1.3,11510,14,58273,161,5857,20583
4,12931,18,403,13,1283,17.5,18482,16,100747,327,9349,35130
1.5,5095,14,148,31,490,4.8,6402,16,36041,124,3393,11287
2.5,8117,5,283,45,782,2.7,11384,12,68321,206,5962,20662
2.5,9811,11,196,20,768,9.4,11188,13,69546,196,5824,17526
3,11871,26,321,62,937,4.1,13838,17,76104,166,7062,22673
1,3949,2,108,14,240,2.4,4729,11,23814,83,2253,7630
1.5,5351,15,169,9,381,2.7,6863,4,37366,116,3493,10783
2.5,7682,6,261,17,617,6.4,10896,14,65319,206,5988,18897
2.5,8627,10,221,28,681,5.5,11500,4,67242,209,5684,21401
2,7297,5,219,55,572,9.3,9300,4,54883,120,4784,14398
2.5,8951,36,197,72,721,4.2,11718,10,67370,129,5893,21890
2,7757,9,155,16,603,9.1,9279,19,55650,161,4440,15420
3,10524,5,266,57,852,10.5,14099,13,69657,249,6828,23926
1.5,5461,11,130,18,452,6.9,7179,9,35223,118,3259,12896
1,3985,1,124,3,247,3,4916,7,23610,63,2294,8840
2.5,8693,32,315,50,628,9.2,11743,12,67681,157,5266,19426
1.5,5600,8,143,27,403,5.6,6849,11,39857,100,3586,11440
3,10156,49,290,57,701,7.3,14518,14,69872,223,6500,22202
2,6902,5,242,16,524,9.1,8845,20,53988,108,4377,14112
1,3828,14,83,6,252,3,4249,7,25146,67,2183,8534
2,7636,9,239,19,534,2.6,8813,17,55716,139,4622,15819
3,9062,21,256,17,744,2.3,14842,8,81597,182,7136,23037
1,3962,2,115,1,248,4.3,4998,5,26299,63,2101,7830
1.5,4731,17,144,13,443,4,6550,10,41381,115,3520,12840
0.5,1518,5,46,11,132,0.6,2165,16,12419,29,1179,4288
3,9541,11,275,40,860,5.2,14139,5,79553,209,6339,21846
1.5,5062,7,120,43,366,1.1,6728,14,38644,113,3492,13266
1,3129,16,122,22,292,4.5,4255,10,24738,60,2342,8727
0.5,1574,2,52,6,147,1,2412,12,12491,35,1074,3999
2.5,8484,3,207,9,737,6,11280,11,67559,157,5390,20717
3.5,10774,57,417,43,971,14.6,15735,18,91907,190,7409,29235
1.5,5392,15,138,35,459,6.8,6461,20,39269,85,3242,12528
1.5,5701,22,149,25,459,2.1,7434,19,34791,78,3300,10780
2,6493,13,201,5,521,8.7,8946,6,55402,128,4582,14731
3,10700,7,331,73,886,11,13901,15,81538,202,6535,26973
4,12348,7,459,95,1306,2.8,18612,19,107884,207,9162,33775
2.5,9755,35,261,69,650,3,11854,9,63930,152,5451,19445
2,6258,29,180,2,648,9.6,9649,4,55525,157,4677,16143
1.5,5483,2,188,13,445,4.7,6590,14,38938,123,3548,12914
2.5,8758,18,223,7,652,4.4,11917,17,64788,127,5879,20398
1,3593,16,88,28,252,4.8,4623,11,24216,90,2264,8618
3,10462,15,270,72,812,13,13105,7,69619,215,6779,23744
2,7414,31,218,45,571,6.5,8810,11,48260,112,4207,16823
1.5,5161,3,167,3,368,1,7154,20,37764,115,3460,11510
4,14665,46,405,57,1270,4.7,19472,17,102348,273,9529,28455
2,6450,24,196,55,643,8.4,8975,18,49495,125,4355,15447
0.5,1785,1,56,11,154,1.8,2201,20,13767,30,1167,3563
1.5,5666,5,141,10,393,5.8,6932,18,39865,106,3538,12477
1.5,5583,24,157,40,456,2.3,6670,20,38857,119,3575,10771
3,10626,37,285,9,806,3.6,13522,9,72893,259,6416,25531
3.5,13328,32,363,32,1124,3,17236,18,85624,235,7800,31255
1.5,4816,6,148,23,393,6.9,7466,14,40054,81,3479,12515
2,7878,27,233,36,543,3.4,9940,12,50620,126,4328,16525
3.5,12182,29,307,3,922,15.2,16956,16,95003,193,7685,30878
1,3666,6,92,26,311,1.2,4651,5,24258,70,2318,7154
1,3101,13,103,18,271,5,4405,14,23960,64,2100,8045
2.5,9691,38,239,50,670,4.1,11992,18,64079,175,5639,17856
2.5,9316,21,244,33,788,1.6,10894,15,62264,135,5723,21074
2.5,9771,12,275,52,790,7,10890,17,65754,203,5834,20689
3,9050,36,313,56,862,7.8,14675,13,83867,181,6967,23419
1,3834,4,81,8,252,0.8,4699,6,25391,78,2163,7142
0.5,1557,8,54,12,143,0.9,2317,7,13889,35,1160,3595
1.5,4573,19,179,43,488,1.1,6871,18,35802,112,3189,13331
2.5,7852,4,272,10,744,10.7,11571,19,69530,142,5753,21127
1,3031,13,103,29,248,3.2,4301,15,26681,68,2164,7910
3.5,11050,27,376,59,1004,10.9,15502,5,91993,304,7951,31103
1.5,5955,12,138,18,362,6.8,6805,19,36842,113,3577,12961
1,3262,5,121,23,329,2.6,4568,15,23457,78,2135,7392
1,3236,15,111,26,265,2.3,4582,9,24140,66,2127,8165
2,7448,33,193,41,491,6.4,9122,7,55966,122,4647,17451
2.5,9523,28,250,14,789,9.5,11894,6,60449,219,5856,21265
1.5,4819,13,143,39,368,5.2,6731,13,34505,119,3251,11119
1,3224,6,106,25,308,4.8,4571,20,26280,50,2157,7190
2,7312,30,242,6,555,9.7,8532,10,48011,130,4753,16552
4.5,15992,26,398,84,1348,7.3,21290,14,107844,301,10201,35831
2.5,8354,15,222,47,625,9.1,10704,5,58869,215,5327,20065
2,6621,14,220,55,557,9.9,9155,16,53400,126,4215,16710
1.5,5726,25,178,30,360,0.8,6543,11,37986,122,3547,11521
0.5,1848,1,58,5,151,1.4,2256,19,12569,27,1082,4425
1.5,5847,18,173,24,479,3.2,7137,17,40209,85,3479,11153
2.5,9162,7,311,65,776,2.6,11532,11,69682,209,5461,21167
1,3216,6,116,7,285,2.5,4517,17,24458,81,2241,8705
1.5,4894,10,170,43,448,2.3,6355,6,40494,89,3505,11671
1.5,4604,7,123,29,403,6.9,6392,5,38412,127,3183,13445
0.5,1983,1,42,4,154,1.7,2310,19,12130,41,1141,3694
3,9244,44,232,60,829,7,14416,20,74614,172,6997,26182
